Month,0-15 Min,16-30 Min,30+ Min,1,2,(empty)
2005-01-31T00:00:00.000+0000,1974.0,NaN,NaN,NaN,NaN,NaN
2005-02-28T00:00:00.000+0000,NaN,1986.0,NaN,NaN,NaN,NaN
2005-03-31T00:00:00.000+0000,1983.0,NaN,NaN,NaN,NaN,NaN
2005-04-30T00:00:00.000+0000,1969.0,NaN,NaN,NaN,NaN,NaN
2005-06-30T00:00:00.000+0000,1986.0,NaN,NaN,NaN,NaN,NaN
2005-07-31T00:00:00.000+0000,1973.230769230769,NaN,NaN,NaN,NaN,NaN
2005-08-31T00:00:00.000+0000,1960.0,1979.0,1955.0,NaN,NaN,NaN
2005-09-30T00:00:00.000+0000,1972.0909090909092,1982.0,1959.0,NaN,NaN,NaN
2005-10-31T00:00:00.000+0000,1953.468652037618,1970.7829457364337,1972.166666666667,NaN,NaN,1968.0
2005-11-30T00:00:00.000+0000,1962.1875,1954.8571428571438,1973.5652173913043,NaN,NaN,NaN
2005-12-31T00:00:00.000+0000,1959.4490131578948,1973.0181818181825,1972.6976744186052,NaN,NaN,NaN
2006-01-31T00:00:00.000+0000,1961.0575117370886,1973.6909090909094,1974.6097560975606,NaN,NaN,1968.0
2006-02-28T00:00:00.000+0000,1962.5990180032748,1972.4999999999993,1976.5333333333333,NaN,NaN,NaN
2006-03-31T00:00:00.000+0000,1962.6249999999998,1939.7058823529412,1970.7499999999998,NaN,NaN,0.0
2006-04-30T00:00:00.000+0000,1970.1171770972023,1974.9464285714287,1974.2500000000002,NaN,NaN,NaN
2006-05-31T00:00:00.000+0000,1967.037921348316,1974.279069767442,1973.9166666666665,NaN,NaN,992.5
2006-06-30T00:00:00.000+0000,1973.2906110283159,1973.8823529411761,1974.3333333333335,NaN,NaN,NaN
2006-07-31T00:00:00.000+0000,1970.1943699731921,1974.8611111111104,1973.111111111111,NaN,NaN,NaN
2006-08-31T00:00:00.000+0000,1968.0675105485232,1953.7526881720428,1977.857142857143,NaN,NaN,1988.0
2006-09-30T00:00:00.000+0000,1967.216066481994,1971.4418604651162,1973.086956521739,NaN,NaN,NaN
2006-10-31T00:00:00.000+0000,1972.641274238228,1973.864077669903,1974.9677419354837,NaN,NaN,NaN
2006-11-30T00:00:00.000+0000,1965.6098484848485,1975.2282608695643,1969.5862068965519,NaN,NaN,NaN
2006-12-31T00:00:00.000+0000,1970.6095791001462,1952.7926829268292,1977.45,NaN,NaN,NaN
2007-01-31T00:00:00.000+0000,1969.164444444444,1976.1084337349396,1973.8846153846155,NaN,NaN,1979.0
2007-02-28T00:00:00.000+0000,1970.4758942457227,1975.8749999999995,1973.0,NaN,NaN,NaN
2007-03-31T00:00:00.000+0000,1973.638752052546,1974.297297297297,1972.4999999999998,NaN,NaN,NaN
2007-04-30T00:00:00.000+0000,1970.111635220126,1976.234042553191,1969.375,NaN,NaN,NaN
2007-05-31T00:00:00.000+0000,1967.7986206896537,1959.1206896551726,1976.780487804878,NaN,NaN,NaN
2007-06-30T00:00:00.000+0000,1970.718637992834,2019.8774193548384,1970.7179487179487,NaN,NaN,NaN
2007-07-31T00:00:00.000+0000,1974.0473251028795,1973.070588235294,1972.1891891891894,NaN,NaN,NaN
2007-08-31T00:00:00.000+0000,1973.4580152671754,1976.1753246753235,1974.3529411764707,NaN,NaN,NaN
2007-09-30T00:00:00.000+0000,1973.389121338913,1973.7134146341466,1976.4615384615383,NaN,NaN,NaN
2007-10-31T00:00:00.000+0000,1974.129464285715,1973.5449438202252,1972.3939393939395,NaN,NaN,NaN
2007-11-30T00:00:00.000+0000,1970.5520000000004,1974.3647058823526,1973.88,NaN,NaN,NaN
2007-12-31T00:00:00.000+0000,1973.5913461538462,1972.0238095238099,1969.6956521739128,NaN,NaN,NaN
2008-01-31T00:00:00.000+0000,1957.2941176470592,1974.7459016393445,1972.9310344827588,NaN,NaN,NaN
2008-02-29T00:00:00.000+0000,1972.9846938775495,1974.5085714285722,1975.5454545454543,NaN,NaN,NaN
2008-03-31T00:00:00.000+0000,1954.4270833333335,1962.0857142857133,1968.2592592592591,NaN,NaN,NaN
2008-04-30T00:00:00.000+0000,1969.3489932885923,1964.3108808290153,1969.0000000000002,NaN,NaN,NaN
2008-05-31T00:00:00.000+0000,1965.6712062256795,1910.6216216216217,1969.2000000000003,NaN,NaN,NaN
2008-06-30T00:00:00.000+0000,1961.3841463414626,1917.1885714285718,1971.2790697674418,NaN,NaN,NaN
2008-07-31T00:00:00.000+0000,1964.756813417191,1916.2608695652175,1966.2857142857142,NaN,NaN,NaN
2008-08-31T00:00:00.000+0000,1965.1066398390333,1891.422535211267,1964.8780487804875,NaN,NaN,NaN
2008-09-30T00:00:00.000+0000,1963.823529411766,1912.6212121212118,1972.5625,NaN,NaN,NaN
2008-10-31T00:00:00.000+0000,1974.0910973084883,1942.2395833333333,1921.1818181818178,NaN,NaN,NaN
2008-11-30T00:00:00.000+0000,1964.8840579710136,1962.0555555555554,1912.4848484848485,NaN,NaN,NaN
2008-12-31T00:00:00.000+0000,1963.9133663366335,1932.6338028169018,1971.1333333333334,NaN,NaN,NaN
2009-01-31T00:00:00.000+0000,1966.4116379310335,1945.2780487804864,1970.5555555555554,NaN,NaN,NaN
2009-02-28T00:00:00.000+0000,1970.153846153847,1917.3674418604649,1972.9393939393938,NaN,NaN,NaN
2009-03-31T00:00:00.000+0000,1970.3392504930964,1975.2611111111119,1971.108695652174,NaN,NaN,NaN
2009-04-30T00:00:00.000+0000,1972.5838926174501,1973.808383233533,1966.7906976744184,NaN,NaN,NaN
